"jobName","jobFileName","recordType","stageName","stageType"
"Jx_ALTARES_Chargement_ds_in_ora","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","Cp_Feilds","PxCopy"
"Jx_ALTARES_Chargement_Selid_Suivi","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","Ora_Table","OracleConnectorPX"
"Jx_ALTARES_Chargement_Selid_Suivi","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","Row_Generator_41","PxRowGenerator"
"Jx_Csv_no_header_vers_Oracle","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","Cp_01","PxCopy"
"Jx_Csv_no_header_vers_Oracle","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","Ora_Cible","OracleConnectorPX"
"Jx_Csv_no_header_vers_Oracle","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","Cp_Rejet","PxCopy"
"Jx_Csv_no_header_vers_Oracle","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","Ci_01","PxColumnImport"
"Jx_Csv_no_header_vers_Oracle","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","SF_Source","PxSequentialFile"
"Jx_Diff_Res_CSV_DTS_ExtractionFichiersSources","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","Sf_Source_XXX","PxSequentialFile"
"Jx_Diff_Res_CSV_DTS_ExtractionFichiersSources","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","Cg_DateChargement","PxColumnGenerator"
"Jx_Diff_Res_CSV_DTS_ExtractionFichiersSources","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","Cp_ecriture","PxCopy"
"Jx_Diff_Res_CSV_DTS_ExtractionFichiersSources","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","DS_Rejets","PxDataSet"
"Jx_Diff_Res_CSV_DTS_ExtractionFichiersSources","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","Ds_ODS_XXX","PxDataSet"
"Jx_Diff_Res_ORA_Suivi_Create","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","Cp_Bidon","PxCopy"
"Jx_Diff_Res_ORA_Suivi_Create","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","Rg_1_Ligne_Bidon","PxRowGenerator"
