"JOB","FILE","stageName","Stagetype"
"Jx_REPART_01_EXTR_BI_IDE12_3","SF_Liste_COAD_IDE12_FR_16","Copy_of_SF_Liste_COAD_IDE12_FR_16","Input"
"Jx_REPART_01_EXTR_BI_IDE12_3","SF_Liste_COAD_IDE12_FR_17","Copy_of_SF_Liste_COAD_IDE12_FR_17","Input"
"Jx_REPART_01_EXTR_BI_IDE12_3","SF_Liste_COAD_IDE12_FR_18","Copy_of_SF_Liste_COAD_IDE12_FR_18","Input"
"Jx_REPART_01_EXTR_BI_IDE12_3","SF_Liste_COAD_IDE12_FR_19","Copy_of_SF_Liste_COAD_IDE12_FR_19","Input"
"Jx_REPART_01_EXTR_BI_IDE12_3","SF_Liste_COAD_IDE12_FR_20","Copy_of_SF_Liste_COAD_IDE12_FR_20","Input"
"Jx_REPART_01_EXTR_BI_IDE12_3","SF_Liste_COAD_IDE12_FR_21","Copy_of_SF_Liste_COAD_IDE12_FR_21","Input"
"Jx_REPART_01_EXTR_BI_IDE12_3","SF_Liste_COAD_IDE12_FR_23","Copy_of_SF_Liste_COAD_IDE12_FR_23","Input"
"Jx_REPART_01_EXTR_BI_IDE12_3","SF_Liste_COAD_IDE12_FR_26","Copy_2_of_SF_Liste_COAD_IDE12_FR_25","Input"
"Jx_FEUILLET_03_EXTR_PENEF","DS_EXTRACT_PENEF.ds","DS_EXTRACT_PENEF","Input"
"Jx_TRACO_04_EXTR_PENEF_OEUVCTX_KEYLIG","DS_03_EXTR_PENEF_OEUVCTX.ds","DS_03_EXTR_PENEF_OEUVCTX","Output"
"Jx_TRACO_04_EXTR_PENEF_OEUVCTX_KEYLIG","DS_04_EXTR_PENEF_OEUVCTX_KEYLIG.ds","DS_04_EXTR_PENEF_OEUVCTX_KEYLIG","Input"
"Jx_TRACO_04_EXTR_PENEF_OEUVCTX_KEYLIG","DS_02_EXTR_PENEF_KEYLIG.ds","DS_02_EXTR_PENEF_KEYLIG","Output"
"Jx_TRACO_07_FMT_ELIZA_WEBDR_PIVOT_PENEL_PENEF_Resultat_Final","20190729_115228.csv","SF_07_RAP_ELIZA_WEBDR_PIVOT_PENEL_PENEF_Resultat_Final_647","Input"
"Jx_TRACO_07_FMT_ELIZA_WEBDR_PIVOT_PENEL_PENEF_Resultat_Final","DS_06_RAP_ELIZA_WEBDR_PIVOT_PENEL_PENEF.ds","DS_06_RAP_ELIZA_WEBDR_PIVOT_PENEL_PENEF","Output"
"Jx_TRACO_07_FMT_ELIZA_WEBDR_PIVOT_PENEL_PENEF_Resultat_Final","20190729_115228.csv","SF_07_RAP_ELIZA_WEBDR_PIVOT_PENEL_PENEF_Resultat_Final","Input"
"Jx_TRACO_07_FMT_ELIZA_WEBDR_PIVOT_PENEL_PENEF_Resultat_Final","20190729_115228_Filtre.csv","SF_07_RAP_ELIZA_WEBDR_PIVOT_PENEL_PENEF_Resultat_Final_Filtre","Input"
"Jx_TRACO_06_LOAD_INFOAD_KEYLIG","DS_05_EXTR_PENEF_INFOAD_KEYLIG.ds","DS_05_EXTR_PENEF_INFOAD_KEYLIG","Output"
"Jx_TRACO_03_APP_WEBDER_ELIZA_PIVOT_OK_KO_PENEL","DS_06_RAP_PENEL_RECUP_KEYLIG.ds","DS_06_RAP_PENEL_RECUP_KEYLIG","Output"
"Jx_TRACO_03_APP_WEBDER_ELIZA_PIVOT_OK_KO_PENEL","DS_03_APP_WEBDER_ELIZA_PIVOT_OK_KO_PENEL.ds","DS_03_APP_WEBDER_ELIZA_PIVOT_OK_KO_PENEL","Input"
"Jx_TRACO_03_APP_WEBDER_ELIZA_PIVOT_OK_KO_PENEL","DS_08_FUSION_WEBDR_ELIZA_PIVOT_OK_KO.ds","DS_08_FUSION_WEBDR_ELIZA_PIVOT_OK_KO","Output"
"Jx_FEUILLET_02_CPTR_REJETS_NB","REJETS_NB*.csv","SF_FIC_OSCAR_REJETS_NB","Output"
"Jx_FEUILLET_02_CPTR_REJETS_NB","CPTE_RENDU_REJETS_NB.csv","CPTE_RENDU_REJETS","Input"
"Jx_REPART_01_EXTR_BI_IDE12","PAR_FIC_LISTE_COAD_IDE12_EN","SF_Liste_COAD_IDE12_EN","Input"
"Jx_REPART_01_EXTR_BI_IDE12","PAR_FIC_LISTE_COAD_IDE12_FR","SF_Liste_COAD_IDE12_FR","Input"
