Projet,job,file,stage,idIO,typeIO
MGTPRD,Jx_LABISValidODSfOCTAV01ExtrCLLPRODUIT,#ParRepDataset#Ds_LABISValidODSfOCTAVT_CLLPRODUIT.ds,VALID_OCTAVT_CLLPRODUIT,V0S1P1,CustomInput
MGTPRD,Jx_LABISValidODSfOCTAV01ExtrCLLSTATUT,#ParRepDataset#Ds_LABISValidODSfOCTAVT_CLLSTATUT.ds,VALID_OCTAVT_CLLSTATUT,V0S1P1,CustomInput
MGTPRD,Jx_LABISValidODSfOCTAV01ExtrCWRAD,#ParRepDataset#Ds_LABISValidODSfOCTAVT_CWRAD.ds,VALID_OCTAVT_CWRAD,V0S1P1,CustomInput
MGTPRD,Jx_LABISValidODSfOCTAV01ExtrCWRMISATTMOTIF,#ParRepDataset#Ds_LABISValidODSfOCTAVT_CWRMISATTMOTIF.ds,VALID_OCTAVT_CWRMISATTMOTIF,V0S1P1,CustomInput
MGTPRD,Jx_LABISValidODSfOCTAV01ExtrCWROEUV,#ParRepDataset#Ds_LABISValidODSfOCTAVT_CWROEUV.ds,VALID_OCTAVT_CWROEUV,V0S1P1,CustomInput
MGTPRD,Jx_LABISValidODSfOCTAV01ExtrDEPOTOEUV,#ParRepDataset#Ds_LABISValidODSfOCTAVT_DEPOTOEUV.ds,VALID_OCTAVT_DEPOTOEUV,V0S1P1,CustomInput
MGTPRD,Jx_LABISValidODSfOCTAV01ExtrEPISODE,#ParRepDataset#Ds_LABISValidODSfOCTAVT_EPISODE.ds,VALID_OCTAVT_EPISODE,V0S1P1,CustomInput
MGTPRD,Jx_LABISValidODSfOCTAV01ExtrETATDECL,#ParRepDataset#Ds_LABISValidODSfOCTAVT_ETATDECL.ds,VALID_OCTAVTR_ETATDECL,V0S1P1,CustomInput
MGTPRD,Jx_LABISValidODSfOCTAV01ExtrETATDOC,#ParRepDataset#Ds_LABISValidODSfOCTAVT_ETATDOC.ds,VALID_OCTAVT_ETATDOC,V0S1P1,CustomInput
MGTPRD,Jx_LABISValidODSfOCTAV01ExtrGELDAOEUV,#ParRepDataset#Ds_LABISValidODSfOCTAV_GELDAOEUV.ds,VALID_OCTAVT_GELDAOEUV,V0S1P1,CustomInput
MGTPRD,Jx_LABISValidODSfOCTAV01ExtrGREMUS,#ParRepDataset#Ds_LABISValidODSfOCTAVT_GREMUS.ds,VALID_OCTAVT_GREMUS,V0S1P1,CustomInput
MGTPRD,Jx_LABISValidODSfOCTAV01ExtrGREOEUV,#ParRepDataset#Ds_LABISValidODSfOCTAVT_GREOEUV.ds,VALID_OCTAVT_GREOEUV,V0S1P1,CustomInput
MGTPRD,Jx_LABISValidODSfOCTAV01ExtrIDE12ARCHIV,#ParRepDataset#Ds_LABISValidODSfOCTAVT_IDE12ARCHIV.ds,VALID_OCTAVT_IDE12ARCHIV,V0S1P1,CustomInput
MGTPRD,Jx_LABISValidODSfOCTAV01ExtrISWC,#ParRepDataset#Ds_LABISValidODSfOCTAV_ISWC.ds,VALID_OCTAVT_ISWC,V0S1P1,CustomInput
