FILE,JOB
DS_SAREF_UO.ds,Jx_LABISValidODSfSMA01Extr01SAREFTR_UO
DS_SAREF_UO.ds,Jx_LABISValidODSfSMA02Trans02ORGANISATION
DS_SELDR_CORRESP_GSB_UO.ds,Jx_LABISValidODSfSMA02Trans11LIGNEFACTURE
DS_SELDR_CORRESP_GSB_UO.ds,Jx_LABISValidODSfSMA01Extr18SELDRT_CORRESP_GSB_UO
DS_SELDR_CORRESP_GSB_UO.ds,Jx_LABISValidODSfSMA02Trans08CPTECLIENT
DS_SELDR_CORRESP_GSB_UO.ds,Jx_LABISValidODSfSMA02Trans07TIERS
DS_SELDR_CORRESP_GSB_UO.ds,Jx_LABISValidODSfSMA02Trans09CONTRAT
DS_SMA_AFFECTATION.ds,Jx_LABISValidODSfSMA02Trans13LETTRAGE
DS_SMA_AFFECTATION.ds,Jx_LABISValidODSfSMA01Extr23SMAT_AFFECTATION
DS_SMA_CATEGORIE.ds,Jx_LABISValidODSfSMA01Extr03SMATR_CATEGORIE
DS_SMA_CLIENT.ds,Jx_LABISValidODSfSMA01Extr22SMAT_CLIENT
DS_SMA_CLIENT.ds,Jx_LABISValidODSfSMA02Trans08CPTECLIENT
DS_SMA_CLIENT.ds,Jx_LABISValidODSfSMA02Trans07TIERS
DS_SMA_CLIENT.ds,Jx_LABISValidODSfSMA02Trans09CONTRAT
DS_SMA_CLI_CAT.ds,Jx_LABISValidODSfSMA01Extr11SMATJ_CLI_CAT
DS_SMA_CLI_DEL.ds,Jx_LABISValidODSfSMA02Trans11LIGNEFACTURE
DS_SMA_CLI_DEL.ds,Jx_LABISValidODSfSMA01Extr12SMATJ_CLI_DEL
DS_SMA_CLI_DEL.ds,Jx_LABISValidODSfSMA02Trans08CPTECLIENT
DS_SMA_CLI_DEL.ds,Jx_LABISValidODSfSMA02Trans07TIERS
DS_SMA_CLI_DEL.ds,Jx_LABISValidODSfSMA02Trans09CONTRAT
DS_SMA_CLI_SYN.ds,Jx_LABISValidODSfSMA01Extr07SMATR_CLI_SYN
DS_SMA_CLI_SYN.ds,Jx_LABISValidODSfSMA02Trans09CONTRAT
DS_SMA_CREANCE.ds,Jx_LABISValidODSfSMA02Trans11LIGNEFACTURE
DS_SMA_CREANCE.ds,Jx_LABISValidODSfSMA01Extr20SMAT_CREANCE
DS_SMA_CREANCE.ds,Jx_LABISValidODSfSMA02Trans10FACTURE
DS_SMA_IMPUTATION.ds,Jx_LABISValidODSfSMA02Trans13LETTRAGE
DS_SMA_IMPUTATION.ds,Jx_LABISValidODSfSMA01Extr24SMAT_IMPUTATION
DS_SMA_IMPUTATION.ds,Jx_LABISValidODSfSMA02Trans12PAIEMENT
DS_SMA_NDC.ds,Jx_LABISValidODSfSMA02Trans11LIGNEFACTURE
DS_SMA_NDC.ds,Jx_LABISValidODSfSMA02Trans13LETTRAGE
DS_SMA_NDC.ds,Jx_LABISValidODSfSMA01Extr21SMAT_NDC
DS_SMA_NDC.ds,Jx_LABISValidODSfSMA02Trans10FACTURE
DS_SMA_PAIEMENT.ds,Jx_LABISValidODSfSMA01Extr25SMAT_PAIEMENT
DS_SMA_PAIEMENT.ds,Jx_LABISValidODSfSMA02Trans12PAIEMENT
DS_SMA_RESEAU.ds,Jx_LABISValidODSfSMA01Extr04SMATR_RESEAU
DS_SMA_RESEAU.ds,Jx_LABISValidODSfSMA02Trans05AGREGCLIENT
DS_SMA_RES_CLI.ds,Jx_LABISValidODSfSMA01Extr15SMATJ_RES_CLI
DS_SMA_RES_CLI.ds,Jx_LABISValidODSfSMA02Trans07TIERS
DS_SMA_SOCIETES.ds,Jx_LABISValidODSfSMA02Trans13LETTRAGE
DS_SMA_SOCIETES.ds,Jx_LABISValidODSfSMA01Extr05SMATR_SOCIETES
DS_SMA_SOCIETES.ds,Jx_LABISValidODSfSMA02Trans12PAIEMENT
DS_SMA_SOCIETES.ds,Jx_LABISValidODSfSMA02Trans10FACTURE
DS_SMA_SOC_GES_CLI.ds,Jx_LABISValidODSfSMA01Extr13SMATJ_SOC_GES_CLI
DS_SMA_SOUS_CLIENT.ds,Jx_LABISValidODSfSMA01Extr19SMAT_SOUS_CLIENT
DS_SMA_SOUS_CLIENT.ds,Jx_LABISValidODSfSMA02Trans09CONTRAT
DS_SMA_TYPE_CLI.ds,Jx_LABISValidODSfSMA01Extr06SMATR_TYPE_CLI
DS_SMA_TYPE_CLI.ds,Jx_LABISValidODSfSMA02Trans06TYPECPTE
DS_SMA_TYPE_CREANCE.ds,Jx_LABISValidODSfSMA01Extr08SMATR_TYPE_CREANCE
DS_SMA_TYPE_CREANCE.ds,Jx_LABISValidODSfSMA02Trans03TYPEMVT
DS_SMA_TYPE_ECRITURE.ds,Jx_LABISValidODSfSMA01Extr09SMATR_TYPE_ECRITURE
DS_SMA_TYPE_ECRITURE.ds,Jx_LABISValidODSfSMA02Trans04TYPEPAIEMT
DS_SMA_TYPVOIE.ds,Jx_LABISValidODSfSMA01Extr10SMATR_TYPVOIE
DS_SMA_TYPVOIE.ds,Jx_LABISValidODSfSMA02Trans07TIERS
DS_SMA_TYP_CLIENT.ds,Jx_LABISValidODSfSMA01Extr14SMATJ_TYP_CLIENT
DS_SMA_TYP_CLIENT.ds,Jx_LABISValidODSfSMA02Trans08CPTECLIENT
Ds_LABISIntegDWHSELOL01ExtrCATEGCTR.ds,Jx_LABISIntegDWHSELOL03Chrg17CATEGCTR
Ds_LABISIntegDWHSELOL01ExtrCATEGCTR.ds,Jx_LABISIntegDWHSELOL01Extr17CATEGCTR
Ds_LABISIntegDWHSELOL01ExtrCONSOPROV.ds,Jx_LABISIntegDWHSELOL02Trans19CONSOPROV
Ds_LABISIntegDWHSELOL01ExtrCONSOPROV.ds,Jx_LABISIntegDWHSELOL01Extr30CONSOPROV
Ds_LABISIntegDWHSELOL01ExtrCONTRAT.ds,Jx_LABISIntegDWHSELOL02Trans02CONTRAT
Ds_LABISIntegDWHSELOL01ExtrCONTRAT.ds,Jx_LABISIntegDWHSELOL01Extr08CONTRAT
Ds_LABISIntegDWHSELOL01ExtrCPTECLI.ds,Jx_LABISIntegDWHSELOL02Trans01CPTECLI
Ds_LABISIntegDWHSELOL01ExtrCPTECLI.ds,Jx_LABISIntegDWHSELOL01Extr05CPTECLI
Ds_LABISIntegDWHSELOL01ExtrCTREXEC.ds,Jx_LABISIntegDWHSELOL02Trans03CTREXEC
Ds_LABISIntegDWHSELOL01ExtrCTREXEC.ds,Jx_LABISIntegDWHSELOL01Extr09CTREXEC
Ds_LABISIntegDWHSELOL01ExtrCTRPAPIER.ds,Jx_LABISIntegDWHSELOL03Chrg13CTRPAPIER
Ds_LABISIntegDWHSELOL01ExtrCTRPAPIER.ds,Jx_LABISIntegDWHSELOL01Extr13CTRPAPIER
Ds_LABISIntegDWHSELOL01ExtrDECLARATION.ds,Jx_LABISIntegDWHSELOL02Trans12DECLARATION
Ds_LABISIntegDWHSELOL01ExtrDECLARATION.ds,Jx_LABISIntegDWHSELOL01Extr06DECLARATION
Ds_LABISIntegDWHSELOL01ExtrFACTURE.ds,Jx_LABISIntegDWHSELOL02Trans13FACTURE
Ds_LABISIntegDWHSELOL01ExtrFACTURE.ds,Jx_LABISIntegDWHSELOL01Extr22FACTURE
Ds_LABISIntegDWHSELOL01ExtrJCTRCPTCLI.ds,Jx_LABISIntegDWHSELOL02Trans15JCTRCPTCLI
Ds_LABISIntegDWHSELOL01ExtrJCTRCPTCLI.ds,Jx_LABISIntegDWHSELOL01Extr25JCTRCPTCLI
