Projet,job,file,truefile,stage,idIO,typeIO
SUPprd,Jx_TRACO_02_APP_WEBDER_ELIZA_PIVOT_OK_PENEL,#PAR_PATH_DATASET#DS_06_RAP_PENEL_RECUP_KEYLIG.ds,/work/home/dsprd1/applications/sup/traco/datastage/dataset/DS_06_RAP_PENEL_RECUP_KEYLIG.ds,DS_06_RAP_PENEL_RECUP_KEYLIG,V149S0P2,Source
SUPprd,Jx_SQL_CSV,\(2)\(2)0\(1)\(3)file\(2)#ParRepCible##ParFichierCible#\(2)0, ,Sf_Cible,V3S0P1,Cible
SUPprd,Jx_REPART_02_ECLAT_LISTE_BI_IDE122,\(2)\(2)0\(1)\(3)file\(2)#PAR_PATH_SOURCES#SF_Liste_COAD_IDE12_FR_01\(2)0,/work/home/dsdev1/applications/sup/repar/datastage/sources/SF_Liste_COAD_IDE12_FR_01,SF_Liste_COAD_IDE12_FR_01,V136S6P2,Cible
SUPprd,Jx_REPART_02_ECLAT_LISTE_BI_IDE122,#PAR_PATH_DATASET#DS_EXTRACT_BI_IDE12_FR.ds,/work/home/dsprd1/applications/sup/repar/datastage/dataset/DS_EXTRACT_BI_IDE12_FR.ds,Data_Set_104,V141S0P2,Source
SUPprd,Jx_REPART_02_ECLAT_LISTE_BI_IDE122,\(2)\(2)0\(1)\(3)file\(2)#PAR_PATH_SOURCES#SF_Liste_COAD_IDE12_FR_02\(2)0,/work/home/dsdev1/applications/sup/repar/datastage/sources/SF_Liste_COAD_IDE12_FR_02,SF_Liste_COAD_IDE12_FR_02,V144S2P1,Cible
SUPprd,Jx_REPART_02_ECLAT_LISTE_BI_IDE122,\(2)\(2)0\(1)\(3)file\(2)#PAR_PATH_SOURCES#SF_Liste_COAD_IDE12_FR_03\(2)0,/work/home/dsdev1/applications/sup/repar/datastage/sources/SF_Liste_COAD_IDE12_FR_03,SF_Liste_COAD_IDE12_FR_03,V145S0P1,Cible
SUPprd,Jx_REPART_02_ECLAT_LISTE_BI_IDE122,\(2)\(2)0\(1)\(3)file\(2)#PAR_PATH_SOURCES#SF_Liste_COAD_IDE12_FR_04\(2)0,/work/home/dsdev1/applications/sup/repar/datastage/sources/SF_Liste_COAD_IDE12_FR_04,SF_Liste_COAD_IDE12_FR_04,V146S0P1,Cible
SUPprd,Jx_REPART_02_ECLAT_LISTE_BI_IDE122,\(2)\(2)0\(1)\(3)file\(2)#PAR_PATH_SOURCES#SF_Liste_COAD_IDE12_FR_05\(2)0,/work/home/dsdev1/applications/sup/repar/datastage/sources/SF_Liste_COAD_IDE12_FR_05,SF_Liste_COAD_IDE12_FR_05,V147S0P1,Cible
SUPprd,Jx_REPART_02_ECLAT_LISTE_BI_IDE122,\(2)\(2)0\(1)\(3)file\(2)#PAR_PATH_SOURCES#SF_Liste_COAD_IDE12_FR_06\(2)0,/work/home/dsdev1/applications/sup/repar/datastage/sources/SF_Liste_COAD_IDE12_FR_06,SF_Liste_COAD_IDE12_FR_06,V148S2P1,Cible
SUPprd,Jx_REPART_02_ECLAT_LISTE_BI_IDE122,\(2)\(2)0\(1)\(3)file\(2)#PAR_PATH_SOURCES#SF_Liste_COAD_IDE12_FR_07\(2)0,/work/home/dsdev1/applications/sup/repar/datastage/sources/SF_Liste_COAD_IDE12_FR_07,SF_Liste_COAD_IDE12_FR_07,V149S2P1,Cible
